# MT1 이름표 한국어안
# A = 악마/종족/특수아이템 167개 (뱅크$0C, 포인터표 $881A)
# B = 아이템/장비 51개 (뱅크$01, $03D8F)
# C = 마법 36개 (뱅크$0B, $17EF2)
A0	나카지마
A1	유미코
A2	크리슈나
A3	오딘
A4	가네샤
A5	원롱
A6	바롱
A7	스핑크스
A8	아누비스
A9	키마이라
A10	칼리
A11	토르
A12	야차
A13	스사노오
A14	나가
A15	하누만
A16	진
A17	쿠훌린
A18	츠쿠요미
A19	락슈미
A20	알라우네
A21	도온
A22	세베크
A23	바스테트
A24	아피스
A25	라곤
A26	바쿠
A27	살라만다
A28	파주주
A29	카완차
A30	켈피
A31	쿠탐
A32	트렌트
A33	케르베로스
A34	와이번
A35	케찰코아틀
A36	바실리스크
A37	바하라
A38	스톤카
A39	반다
A40	네코마타
A41	캔서
A42	웨어울프
A43	라미아
A44	길타브
A45	오리아스
A46	웨어캣
A47	세이렌
A48	레무리안
A49	소라스
A50	헤케트
A51	자이언트
A52	라케
A53	드워프
A54	펑거스
A55	비이
A56	요모츠시코메
A57	노움
A58	보글
A59	푸카
A60	포모리아
A61	엘프
A62	트롤
A63	고블린
A64	드리아드
A65	악마의목
A66	아바오아쿠
A67	폴터가이스트
A68	마이코니드로
A69	윌오위스프
A70	슬라임헤도로
A71	메가플라나리아
A72	윌오위스프
A73	그린슬라임
A74	핑크루퍼
A75	매드슬러그
A76	라핀스컬
A77	미라
A78	구울
A79	스켈레톤
A80	고스트
A81	좀비
A82	스킬라
A83	코카트리스
A84	서펜트
A85	탐즈
A86	타란텔라
A87	아피페
A88	바그
A89	바심
A90	킹트롤
A91	사이클롭스
A92	오니
A93	에킴
A94	오거
A95	가고일
A96	오크
A97	샤도우
A98	메피스토펠레스
A99	로아
A100	인큐버스
A101	서큐버스
A102	카임
A103	랑다
A104	타라가
A105	나아스
A106	알케니
A107	파라이
A108	하피
A109	하쿠마부도
A110	디바
A111	듀라한
A112	아쿠칼
A113	블랙나이트
A114	뱀파이어
A115	파라오
A116	티아마트
A117	히드라
A118	고르곤
A119	펜리스
A120	티폰
A121	만티코어
A122	발레푸르
A123	오르트로스
A124	누에
A125	베르제붑
A126	아수라
A127	조마
A128	베헤모스
A129	바알
A130	미노타우로스
A131	메두사
A132	로키
A133	헤카테
A134	세트
A135	루시퍼
A136	블롭
A137	트렌트
A138	메두사의그림자
A139	고블린
A140	포그
A141	샌드루퍼
A142	고스트이스마
A143	아바오아쿠
A144	프루시
A145	도돈고
A146	아스타로트
A147	마인
A148	신수
A149	귀신
A150	환마
A151	성수
A152	정령
A153	마수
A154	수인
A155	지령
A156	요정
A157	요괴
A158	악령
A159	환수
A160	사귀
A161	야마
A162	귀녀
A163	유귀
A164	요수
A165	사신
A166	마왕
B0	황소의열쇠
B1	타바사상
B2	갈의방패
B3	주유권
B4	시즈타마
B5	롤의부적
B6	자수정
B7	아레스의목걸이
B8	오크의뿔피리
B9	아라타마
B10	라토스상
B11	은의부조
B12	후루타마
B13	이자나미의옷
B14	루스의병
B15	릭의팔찌
B16	백룡의구슬
B17	프루시의울음
B18	하늘의곡옥
B19	용의수염
B20	벼락부름
B21	잭나이프
B22	쌍절곤
B23	단검
B24	전갈채찍
B25	쇠사슬낫
B26	도
B27	백금단검
B28	모닝스타
B29	명도코테츠
B30	물거울검
B31	국화일문자
B32	불꽃짓테
B33	난무의검
B34	소울오브나이트
B35	오리하르콘검
B36	붉은검
B37	사신의낫
B38	페르세우스검
B39	오라의검
B40	카구츠치의검
B41	컴뱃슈트
B42	사슬갑옷
B43	브레스트플레이트
B44	파이버슈트
B45	갑주
B46	오리하르콘갑옷
B47	오라의갑옷
B48	안개갑옷
B49	헬멧
B50	케블라헬멧
B51	액막이투구
B52	엔젤링
B53	야차의가면
B54	오라의투구
B55	다프네의관
B56	참나무방패
B57	강철방패
B58	세라믹방패
B59	백금방패
B60	오리하르콘방패
B61	오라의방패
B62	사자의방패
B63	런던부츠
C0	사이
C1	사이코
C2	사이킥
C3	사이클론
C4	봇토
C5	봇토라
C6	보앗토나
C7	가보앗토
C8	브리즈
C9	브리자
C10	브리자톤
C11	칸데
C12	칸데온
C13	하마
C14	핫케
C15	하쿄
C16	마기온카
C17	도르민
C18	프린파
C19	놋프
C20	마린카린
C21	굿스리토
C22	하이퍼
C23	테트라자
C24	에토나
C25	큐마
C26	메디
C27	메디카
C28	메디카르
C29	팟치
C30	크링크
C31	리캄
C32	사바트
C33	스워드나
C34	스타르트
C35	맛파
