# 정적 폰트 - CHR 뱅크4/5 에 굽는 고정 음절 (코드<TAB>음절)
# ★2026-09-03 81칸 -> 49칸. 매퍼195 로 코드 $00~$FF 가 전부 CHR-RAM 이 되면서
#   여기서 뺀 32칸이 **동적 슬롯**으로 풀린다 (슬롯 52 -> 84).
#   아이템·마법 목록에서 떠 있는 글자가 변질되던 슬롯 고갈을 그렇게 푼다.
#   고른 기준 (셋을 동시에 만족하는 최소 조합):
#     - 라벨(ui_words.txt)은 이스케이프를 못 써서 여기 없는 음절이면 빌드가 멈춘다
#     - 제자리 치환(ui_ko.txt)은 정적 1바이트 / 그 밖 2바이트라 예산을 넘기면 안 된다
#     - 이름 화면 적대적 최악 + 대사 한 메시지 최대 로컬이 슬롯 안에 들어와야 한다
#   81칸판은 static_font81.txt 에 남겨 두었다.
24	드
25	지
26	수
27	마
28	사
29	떨
2A	렸
2B	안
# ★2026-09-06 추가. 회복의 샘 파티 목록의 「치료」 열 제목($01315)은 **$C13E 훅을 안 거친다**
#   -> 이스케이프 `BD 0F BD 23` 이 화면에 날것으로 떴다(사용자 보고: MP 옆 깨진 타일).
#   라벨은 정적 폰트 음절만 쓸 수 있으므로 치·료를 정적으로 올린다. 슬롯 84 -> 82.
2C	치
2D	료
# ★2026-09-07 추가. 전투/상점 「예·아니오」 프롬프트($D5B5 블록B)는 **본문 폰트**로 그려지는데
#   대사 엔진도 UI 훅도 안 거쳐서 **정적 폰트 음절만** 쓸 수 있다. 오($3A)는 이미 있고 예·아·니가 없었다.
2F	예
31	아
33	니
# ★2026-09-07 추가. 전투 STATUS 칸(뱅크$0C $915B, 6바이트 고정폭 13엔트리)은
#   대사 엔진도 UI 훅도 블록 훅도 안 거친다 - 「공격」이 `✕✕`로 떴다(사용자 보고).
#   방어(방+어)만 멀쩡했던 이유가 둘 다 정적이었기 때문이다. 슬롯 78 -> 74.
35	공
42	격
43	망
44	동
# ★2026-09-07 미번역 전수조사 마무리. 왕=보스 칭호(마왕/대마왕, 오프셋표라 예산이 빠듯),
#   가=「동료가 됐다」, 인=「봉인됐다」. 셋 다 자주 나와 이스케이프 예산도 같이 아낀다.
47	왕
4C	가
4F	인
2E	유
30	악
32	신
34	야
36	의
37	이
38	다
39	라
3A	오
3B	스
3C	나
3D	검
3E	방
3F	하
40	리
41	트
45	르
46	자
48	는
49	부
4A	을
4B	구
4D	은
4E	시
50	에
51	프
52	도
53	카
54	루
55	토
56	고
58	어
67	슬
68	기
6A	그
70	로
72	있
75	미
76	코
77	소
79	를
